objectid,filename,logo,title,description,website,latitude,longitude,format,subject,hrv,location,language,address,date,institution,provenance,access,Timestamp,Name of Institution,Description of the Institution,Logo or Picture,Origin,Type of Institution,Coverage (Human Rights Violations Vocabulary),Coverage (Keywords),Longitude (if they have a physical location),Lattitude (if they have a physical location),Website of the Institution,Has digitized materials available online?,Languages,Comments or Notes,Country,Physical Address (If available),Date of Establishment
id12,https://lh3.googleusercontent.com/d/1gGR9Da-Wru-rJ45h0JeOj16-czKbTUMI,https://lh3.googleusercontent.com/d/1gGR9Da-Wru-rJ45h0JeOj16-czKbTUMI,Fortunoff Video Arcvhie for Holocaust Testimonies,"The Fortunoff Video Archive for Holocaust Testimonies has its roots in New Haven, Connecticut but its collection now spans the Americas, Europe, and Israel. For more than four decades its mission has stayed the same: to record and project the stories of those who were there. (https://fortunoff.library.yale.edu/about-us/our-story/)",https://fortunoff.library.yale.edu/,41.31113609,-72.92801201,record,Holocaust Testimonies,Holocaust; Genocide,United States; North America,,"Sterling Memorial Library, Room 331B 120 High Street New Haven CT 06511, USA",1/1/1981,University or Research Institute,"During process of pacification, transition, and establishing accountability",Yes,3/29/2025 16:52:35,Fortunoff Video Arcvhie for Holocaust Testimonies,"The Fortunoff Video Archive for Holocaust Testimonies has its roots in New Haven, Connecticut but its collection now spans the Americas, Europe, and Israel. For more than four decades its mission has stayed the same: to record and project the stories of those who were there. (https://fortunoff.library.yale.edu/about-us/our-story/)",https://drive.google.com/open?id=1gGR9Da-Wru-rJ45h0JeOj16-czKbTUMI,"During process of pacification, transition, and establishing accountability",University or Research Institute,Holocaust; Genocide,Holocaust Testimonies,41.31113609,-72.92801201,https://fortunoff.library.yale.edu/,Yes,,,United States; North America,"Sterling Memorial Library, Room 331B 120 High Street New Haven CT 06511, USA",1/1/1981
id13,https://lh3.googleusercontent.com/d/1xkjrJuOSUsSHXoZwA0Ug2hMdBw58trMj,https://lh3.googleusercontent.com/d/1xkjrJuOSUsSHXoZwA0Ug2hMdBw58trMj,USC Shoah Foundation Visual History Archive,"An invaluable resource for humanity, the USC Shoah Foundation's Visual History Archive (VHA) contains more than 55,000 video testimonies of survivors and witnesses of genocide, crimes against humanity, and related persecution. (https://vha.usc.edu/home)",https://vha.usc.edu/home,34.02195984,-118.2823062,record,Holocaust testimonies; Survivor tetimonies; Witness testimonies,Holocaust; Genocide; Crimes Against Humanity,United States; North America,,"USC Shoah Foundation - The Institute for Visual History and Education Leavey Library 650 W. 35th Street, Suite 401 Los Angeles, CA 90089-2571, USA",4/18/1994,University or Research Institute,"During process of pacification, transition, and establishing accountability",Yes,3/30/2025 14:44:20,USC Shoah Foundation Visual History Archive,"An invaluable resource for humanity, the USC Shoah Foundation's Visual History Archive (VHA) contains more than 55,000 video testimonies of survivors and witnesses of genocide, crimes against humanity, and related persecution. (https://vha.usc.edu/home)",https://drive.google.com/open?id=1xkjrJuOSUsSHXoZwA0Ug2hMdBw58trMj,"During process of pacification, transition, and establishing accountability",University or Research Institute,Holocaust; Genocide; Crimes Against Humanity,Holocaust testimonies; Survivor tetimonies; Witness testimonies,34.02195984,-118.2823062,https://vha.usc.edu/home,Yes,,,United States; North America,"USC Shoah Foundation - The Institute for Visual History and Education Leavey Library 650 W. 35th Street, Suite 401 Los Angeles, CA 90089-2571, USA",4/18/1994
id14,https://lh3.googleusercontent.com/d/1OR5_QupSZxPZVVoWWa6VagSMBu-6Mh6c,https://lh3.googleusercontent.com/d/1OR5_QupSZxPZVVoWWa6VagSMBu-6Mh6c,Archivo Nacional de la Memoria,"The ANM is the institution responsible for preserving documentation on human rights violations in Argentina. It houses public and private funds and collections, mostly linked to the last civil-military dictatorship (1976-1983). These fonds serve as evidence in trials for crimes against humanity, support victim reparation policies, and are available for consultation by the entire community. (https://www.argentina.gob.ar/derechoshumanos/ANM)",https://www.argentina.gob.ar/derechoshumanos/ANM,-34.54023932,-58.46282208,record,Civil-Military Dictatorship; Plan Condor; UNESCO Memory of the World,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced Labor; Forced disappearance,Argentina; South America,Spanish,"Av. del Libertador 8151 - Autonomous City of Buenos Aires C1429BNB, Argentina",12/16/2003,"Truth, Reparations, and/or Memorialization Commissions","During process of pacification, transition, and establishing accountability",No,3/30/2025 14:54:18,Archivo Nacional de la Memoria,"The ANM is the institution responsible for preserving documentation on human rights violations in Argentina. It houses public and private funds and collections, mostly linked to the last civil-military dictatorship (1976-1983). These fonds serve as evidence in trials for crimes against humanity, support victim reparation policies, and are available for consultation by the entire community. (https://www.argentina.gob.ar/derechoshumanos/ANM)",https://drive.google.com/open?id=1OR5_QupSZxPZVVoWWa6VagSMBu-6Mh6c,"During process of pacification, transition, and establishing accountability","Truth, Reparations, and/or Memorialization Commissions",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced Labor; Forced disappearance,Civil-Military Dictatorship; Plan Condor; UNESCO Memory of the World,-34.54023932,-58.46282208,https://www.argentina.gob.ar/derechoshumanos/ANM,No,Spanish,,Argentina; South America,"Av. del Libertador 8151 - Autonomous City of Buenos Aires C1429BNB, Argentina",12/16/2003
id15,https://lh3.googleusercontent.com/d/1VhfxiiCpWlJWviBPxpWnr1ZGpxNrwvzF,https://lh3.googleusercontent.com/d/1VhfxiiCpWlJWviBPxpWnr1ZGpxNrwvzF,Archivos de la Dictadura,"During 2008 and 2009, various individuals and organizations, such as the Permanent Assembly of Human Rights of Bolivia (APDHB), demanded that the government open the archives of Hugo Banzer's dictatorship.
In June 2009, the Armed Forces, the Executive Branch, human rights activists, and victims' families formed a functional-operational commission for the first phase of the declassification of the ""military archives.""
Furthermore, a civic-governmental human rights commission found documents in the vaults of the state-owned Central Bank of Bolivia containing financing offers to the dictatorship from Germany, Italy, France, and the United States. The offers were allegedly used to implement Plan Condor. (https://web.archive.org/web/20151012045917/http://www.archivistica.net/archivos_derechos_humanos.htm)",,-16.74430854,-64.60615937,record,Military dictatorship; Plan Condor,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Bolivia; South America,Spanish,,5/1/2009,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,3/30/2025 15:36:19,Archivos de la Dictadura,"During 2008 and 2009, various individuals and organizations, such as the Permanent Assembly of Human Rights of Bolivia (APDHB), demanded that the government open the archives of Hugo Banzer's dictatorship.
In June 2009, the Armed Forces, the Executive Branch, human rights activists, and victims' families formed a functional-operational commission for the first phase of the declassification of the ""military archives.""
Furthermore, a civic-governmental human rights commission found documents in the vaults of the state-owned Central Bank of Bolivia containing financing offers to the dictatorship from Germany, Italy, France, and the United States. The offers were allegedly used to implement Plan Condor. (https://web.archive.org/web/20151012045917/http://www.archivistica.net/archivos_derechos_humanos.htm)",https://drive.google.com/open?id=1VhfxiiCpWlJWviBPxpWnr1ZGpxNrwvzF,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Military dictatorship; Plan Condor,-16.74430854,-64.60615937,,No,Spanish,Needs more research where the actual military archives were,Bolivia; South America,,5/1/2009
id16,https://lh3.googleusercontent.com/d/1n4cmIhrx_KZdeGsFKRmfNYKfwZjUcXlX,https://lh3.googleusercontent.com/d/1n4cmIhrx_KZdeGsFKRmfNYKfwZjUcXlX,Sitios de Memoria Uruguay,"The website is an independent initiative of the Uruguay Memory Sites collective, with the support of emblematic organizations in the fight for memory, truth, justice, and reparation.
The objectives are:
1) Identify, connect and make available information on the illegitimate actions of the State (1968-1973) and the civil-military dictatorship in Uruguay (1973-1985). 2) Recover, digitize, and disseminate materials from the popular movement, its demands, its organizations, its debates, and its resistance to authoritarianism. (https://sitiosdememoria.uy/proyecto)",https://sitiosdememoria.uy/,-32.78690319,-56.10803059,record,Military Dictatorship; Plan Condor; Memorial sites; Mapping,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Uruguay; South America,Spanish,,,"Truth, Reparations, and/or Memorialization Commissions",Multiple,Yes,3/30/2025 16:06:34,Sitios de Memoria Uruguay,"The website is an independent initiative of the Uruguay Memory Sites collective, with the support of emblematic organizations in the fight for memory, truth, justice, and reparation.
The objectives are:
1) Identify, connect and make available information on the illegitimate actions of the State (1968-1973) and the civil-military dictatorship in Uruguay (1973-1985). 2) Recover, digitize, and disseminate materials from the popular movement, its demands, its organizations, its debates, and its resistance to authoritarianism. (https://sitiosdememoria.uy/proyecto)",https://drive.google.com/open?id=1n4cmIhrx_KZdeGsFKRmfNYKfwZjUcXlX,Multiple,"Truth, Reparations, and/or Memorialization Commissions",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Military Dictatorship; Plan Condor; Memorial sites; Mapping,-32.78690319,-56.10803059,https://sitiosdememoria.uy/,Yes,Spanish,,Uruguay; South America,,
id17,https://lh3.googleusercontent.com/d/1KlfOesMqYu7xBJG8HvQiWqLfvopJlgdo,https://lh3.googleusercontent.com/d/1KlfOesMqYu7xBJG8HvQiWqLfvopJlgdo,Centro Cultural Museo de la Memoria (El MUME),"The MUME is an institution of the Montevideo City Council dedicated to building memory of state terrorism and the Uruguayan people's struggle against the dictatorship, thereby providing knowledge of our country's recent history to new generations and strengthening the constitutive elements of our national identity. (https://mume.montevideo.gub.uy/museo/centro-cultural-museo-de-la-memoria)",https://mume.montevideo.gub.uy/,-34.84207852,-56.19805139,record,State Terrorism; Political Prisoners; Testimonies,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Uruguay; South America,Spanish,"Av. de las Instrucciones 1057, 12900 Montevideo, Departamento de Montevideo, Uruguay",10/17/2006,"Truth, Reparations, and/or Memorialization Commissions","During process of pacification, transition, and establishing accountability",No,3/30/2025 16:13:39,Centro Cultural Museo de la Memoria (El MUME),"The MUME is an institution of the Montevideo City Council dedicated to building memory of state terrorism and the Uruguayan people's struggle against the dictatorship, thereby providing knowledge of our country's recent history to new generations and strengthening the constitutive elements of our national identity. (https://mume.montevideo.gub.uy/museo/centro-cultural-museo-de-la-memoria)",https://drive.google.com/open?id=1KlfOesMqYu7xBJG8HvQiWqLfvopJlgdo,"During process of pacification, transition, and establishing accountability","Truth, Reparations, and/or Memorialization Commissions",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,State Terrorism; Political Prisoners; Testimonies,-34.84207852,-56.19805139,https://mume.montevideo.gub.uy/,No,Spanish,,Uruguay; South America,"Av. de las Instrucciones 1057, 12900 Montevideo, Departamento de Montevideo, Uruguay",10/17/2006
id18,https://lh3.googleusercontent.com/d/1WmZ22AejZBegtNigX0siA7ciNXLVXEwo,https://lh3.googleusercontent.com/d/1WmZ22AejZBegtNigX0siA7ciNXLVXEwo,Madres y Familiares de Uruguayos Detenidos Desaparecidos,"We are a group of mothers and relatives of Uruguayan detainees who have been missing since the 1970s, and we began to gather together to search for them, still hoping to find them alive. We come from different backgrounds marked by the dictatorship and exile. Some of us remained in Uruguay, others began our search in Argentina, and still others in Europe and Central America. Since the opening of democracy, we have walked together, respecting the diversity of thought that characterizes us, but united around our main objectives: Truth, justice, memory, and never again. (https://desaparecidos.org.uy/quienes-somos/)",https://desaparecidos.org.uy/,-34.8941927,-56.1890865,record,Madres; Desaparecidos,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Uruguay; South America,Spanish,"Nicaragua 1332 Montevideo, Uruguay",1/1/1983,"Community-led, family, or individuals","Emerged as an urgent, pragmatic, solidary reaction",Yes,3/30/2025 16:33:40,Madres y Familiares de Uruguayos Detenidos Desaparecidos,"We are a group of mothers and relatives of Uruguayan detainees who have been missing since the 1970s, and we began to gather together to search for them, still hoping to find them alive. We come from different backgrounds marked by the dictatorship and exile. Some of us remained in Uruguay, others began our search in Argentina, and still others in Europe and Central America. Since the opening of democracy, we have walked together, respecting the diversity of thought that characterizes us, but united around our main objectives: Truth, justice, memory, and never again. (https://desaparecidos.org.uy/quienes-somos/)",https://drive.google.com/open?id=1WmZ22AejZBegtNigX0siA7ciNXLVXEwo,"Emerged as an urgent, pragmatic, solidary reaction","Community-led, family, or individuals",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Madres; Desaparecidos,-34.8941927,-56.1890865,https://desaparecidos.org.uy/,Yes,Spanish,,Uruguay; South America,"Nicaragua 1332 Montevideo, Uruguay",1/1/1983
id19,https://lh3.googleusercontent.com/d/12cJheFnQF6ufiE2p4HbLY26wTabLPlqO,https://lh3.googleusercontent.com/d/12cJheFnQF6ufiE2p4HbLY26wTabLPlqO,Memoria Abierta,"Memoria Abierta is an alliance of Argentine human rights organizations that promotes memory of human rights violations of the recent past, actions of resistance, and struggles for truth and justice, in order to reflect on the present and strengthen democracy.

To this end, Memoria Abierta catalogs and provides access to various institutional and personal archives; produces audiovisual interviews that comprise an Oral Archive; contributes to raising awareness of the sites used in repression through various tools and records; develops thematic resources for dissemination and educational purposes based on research, seeking to promote debates on ways of narrating what happened; and collaborates, within the specific scope of its work, with the prosecution of justice. (https://memoriaabierta.org.ar/wp/sobre-memoria-abierta/)",https://memoriaabierta.org.ar/wp/,-34.54025857,-58.46311547,record,State Terrorism; Memorial Sites; Testimonies; Plan Condor; UNESCO Memory of the World,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Argentina; South America,Spanish,"Av. Libertador 8151, (C1429BNB) CABA Argentina",1/1/2000,Human Rights and Non-government Organizations,"During process of pacification, transition, and establishing accountability",No,3/31/2025 9:38:16,Memoria Abierta,"Memoria Abierta is an alliance of Argentine human rights organizations that promotes memory of human rights violations of the recent past, actions of resistance, and struggles for truth and justice, in order to reflect on the present and strengthen democracy.

To this end, Memoria Abierta catalogs and provides access to various institutional and personal archives; produces audiovisual interviews that comprise an Oral Archive; contributes to raising awareness of the sites used in repression through various tools and records; develops thematic resources for dissemination and educational purposes based on research, seeking to promote debates on ways of narrating what happened; and collaborates, within the specific scope of its work, with the prosecution of justice. (https://memoriaabierta.org.ar/wp/sobre-memoria-abierta/)",https://drive.google.com/open?id=12cJheFnQF6ufiE2p4HbLY26wTabLPlqO,"During process of pacification, transition, and establishing accountability",Human Rights and Non-government Organizations,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,State Terrorism; Memorial Sites; Testimonies; Plan Condor; UNESCO Memory of the World,-34.54025857,-58.46311547,https://memoriaabierta.org.ar/wp/,No,Spanish,,Argentina; South America,"Av. Libertador 8151, (C1429BNB) CABA Argentina",1/1/2000
id20,https://lh3.googleusercontent.com/d/1n55I3mDd2rtrUo299-UVLoV7Mm4H03d0,https://lh3.googleusercontent.com/d/1n55I3mDd2rtrUo299-UVLoV7Mm4H03d0,Centro de Estudios Legales y Sociales Archives,"CELS has compiled and archived its own documentation since its beginnings, along with material it has received throughout its history. The main purpose of the archive is to strengthen actions in defense of human rights, collaborate on the historic reconstruction of events and provide elements for investigations. The archive is consulted by documentarians, researchers, students, educators, journalists, victims of state terror, family members and lawyers. Offices of the judicial, legislative and executive branches also consult it. (https://www.cels.org.ar/web/en/archivo/)",https://www.cels.org.ar/web/en/,-34.61454735,-58.37756089,record,State Terrorism; Plan Condor; UNESCO Memory of the World,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Argentina; South America,Spanish,"Piedras 547 1er piso -C1070AAK- Ciudad de Buenos Aires, Argentina",1/1/1979,Human Rights and Non-government Organizations,"During process of pacification, transition, and establishing accountability",No,3/31/2025 10:03:24,Centro de Estudios Legales y Sociales Archives,"CELS has compiled and archived its own documentation since its beginnings, along with material it has received throughout its history. The main purpose of the archive is to strengthen actions in defense of human rights, collaborate on the historic reconstruction of events and provide elements for investigations. The archive is consulted by documentarians, researchers, students, educators, journalists, victims of state terror, family members and lawyers. Offices of the judicial, legislative and executive branches also consult it. (https://www.cels.org.ar/web/en/archivo/)",https://drive.google.com/open?id=1n55I3mDd2rtrUo299-UVLoV7Mm4H03d0,"During process of pacification, transition, and establishing accountability",Human Rights and Non-government Organizations,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,State Terrorism; Plan Condor; UNESCO Memory of the World,-34.61454735,-58.37756089,https://www.cels.org.ar/web/en/,No,Spanish,,Argentina; South America,"Piedras 547 1er piso -C1070AAK- Ciudad de Buenos Aires, Argentina",1/1/1979
id21,https://lh3.googleusercontent.com/d/1EmBPjfZ6TYP-QNK_CKLpe8IPuF6oRoV1,https://lh3.googleusercontent.com/d/1EmBPjfZ6TYP-QNK_CKLpe8IPuF6oRoV1,Abuelas de Plaza de Mayo,We are a non-governmental organization founded in 1977 with the goal of locating and restoring the identities of the more than 500 children who disappeared during the last Argentine dictatorship. (https://www.abuelas.org.ar/),https://www.abuelas.org.ar/,-34.61541908,-58.38882293,record,Right to Identity; Family biography; Plan Condor; UNESCO Memory of the World,Forced Disappearance,Argentina; South America,Spanish,"Virrey Cevallos 592 Pb 1 (C1077AAJ) C.A.B.A., Argentina",1/1/1977,"Community-led, family, or individuals","Emerged as an urgent, pragmatic, solidary reaction",Partial,3/31/2025 10:10:57,Abuelas de Plaza de Mayo,We are a non-governmental organization founded in 1977 with the goal of locating and restoring the identities of the more than 500 children who disappeared during the last Argentine dictatorship. (https://www.abuelas.org.ar/),https://drive.google.com/open?id=1EmBPjfZ6TYP-QNK_CKLpe8IPuF6oRoV1,"Emerged as an urgent, pragmatic, solidary reaction","Community-led, family, or individuals",Forced Disappearance,Right to Identity; Family biography; Plan Condor; UNESCO Memory of the World,-34.61541908,-58.38882293,https://www.abuelas.org.ar/,Partial,Spanish,,Argentina; South America,"Virrey Cevallos 592 Pb 1 (C1077AAJ) C.A.B.A., Argentina",1/1/1977
id22,https://lh3.googleusercontent.com/d/1lRgPlrT6ooOeDxNEu5EFMWAoQyUepL3E,https://lh3.googleusercontent.com/d/1lRgPlrT6ooOeDxNEu5EFMWAoQyUepL3E,desclasificados,"Since August 2019, the Abuelas de Plaza de Mayo, the Center for Legal and Social Studies (CELS), and Memoria Abierta have begun a collaborative project to build a tool for accessing declassified US archives through comprehensive reading and indexing. Together with the Faculty of Social Sciences of the University of Buenos Aires (UBA)—through pre-professional student internships organized by the Antonio Gramsci Center and the Communication Sciences Program—and the Juan Ramón Fernández Institute of Higher Education in Modern Languages, we invited students from various majors to participate in the reading and analysis of the material. They were joined by others from the Sofía E. Broquen de Spangenberg Normal School of Modern Languages, the National University of La Plata, and the University of El Salvador. We formed a team with different members from the beginning: Andrea Ximena Ayestaran, Joaquin Eloy Bousoño, Silvana Bouza, Lucero Castillo Novoa, Agustina Castro, Mariano Closs Comaleras, Maria Laura Escobar, Guadalupe Gonzalez Antunez, Candela Guerriero, Naiara Mailen Mancini, Sofia Maranesi, Paula Maurelli, Macarena Mina, Virginia Pombo, Macarena Sandoval Garcia, Melina Giselle Santa Cruz, Florence Sosa, Cecilia Veliz, Rocio Zalazar Cuello, Victoria Falcon Rocco, Ana Valentino, Maria Eugenia Perez, Agustina Duarte, Carola Bedriñan, Macarena Gonzalez Kelly, Julia Cohen, Julieta Mastrangelo, Sebastian Nicolas Herrera, Milagros Valentini, Eva Coronel Gorojod and Manuela Meichtri.

We work on two major objectives:

• Create a database of processed and classified information by reading and translating declassified files. Students process, interpret, and classify each document under the supervision of the convening organizations.

• Build an academic-pedagogical framework and connect students with human rights organizations and the main strategies to promote the process of memory, truth, and justice.

(https://desclasificados.org.ar/#introduccion)",https://desclasificados.org.ar/,-34.61914757,-58.37905026,record,US Intelligence; Plan Condor,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Argentina; South America,Spanish,,8/1/2019,University or Research Institute,As bureaucratic records during the abuse,Yes,3/31/2025 14:12:20,desclasificados,"Since August 2019, the Abuelas de Plaza de Mayo, the Center for Legal and Social Studies (CELS), and Memoria Abierta have begun a collaborative project to build a tool for accessing declassified US archives through comprehensive reading and indexing. Together with the Faculty of Social Sciences of the University of Buenos Aires (UBA)—through pre-professional student internships organized by the Antonio Gramsci Center and the Communication Sciences Program—and the Juan Ramón Fernández Institute of Higher Education in Modern Languages, we invited students from various majors to participate in the reading and analysis of the material. They were joined by others from the Sofía E. Broquen de Spangenberg Normal School of Modern Languages, the National University of La Plata, and the University of El Salvador. We formed a team with different members from the beginning: Andrea Ximena Ayestaran, Joaquin Eloy Bousoño, Silvana Bouza, Lucero Castillo Novoa, Agustina Castro, Mariano Closs Comaleras, Maria Laura Escobar, Guadalupe Gonzalez Antunez, Candela Guerriero, Naiara Mailen Mancini, Sofia Maranesi, Paula Maurelli, Macarena Mina, Virginia Pombo, Macarena Sandoval Garcia, Melina Giselle Santa Cruz, Florence Sosa, Cecilia Veliz, Rocio Zalazar Cuello, Victoria Falcon Rocco, Ana Valentino, Maria Eugenia Perez, Agustina Duarte, Carola Bedriñan, Macarena Gonzalez Kelly, Julia Cohen, Julieta Mastrangelo, Sebastian Nicolas Herrera, Milagros Valentini, Eva Coronel Gorojod and Manuela Meichtri.

We work on two major objectives:

• Create a database of processed and classified information by reading and translating declassified files. Students process, interpret, and classify each document under the supervision of the convening organizations.

• Build an academic-pedagogical framework and connect students with human rights organizations and the main strategies to promote the process of memory, truth, and justice.

(https://desclasificados.org.ar/#introduccion)",https://drive.google.com/open?id=1lRgPlrT6ooOeDxNEu5EFMWAoQyUepL3E,As bureaucratic records during the abuse,University or Research Institute,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,US Intelligence; Plan Condor,-34.61914757,-58.37905026,https://desclasificados.org.ar/,Yes,Spanish,,Argentina; South America,,8/1/2019
id23,https://lh3.googleusercontent.com/d/11W6BGsNjQvjhj_R2hpwR2zxOin1D3tYP,https://lh3.googleusercontent.com/d/11W6BGsNjQvjhj_R2hpwR2zxOin1D3tYP,Armazém Memória,"Armazém Memória is an initiative for the articulation and collective construction of an Internet portal, aiming to collaborate in the development of public policies that can guarantee Brazilian citizens access to their historical memory, through Virtual Public Libraries interconnected in a direct search system in the content. (https://armazemmemoria.com.br/)",https://armazemmemoria.com.br/,-8.587542707,-55.36546033,record,State Terrorism; Brasil Nunca Mais; Military dictatorship; Indigenous rights; Libraries and archives network,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Brazil; South America,Portuguese,,1/1/2001,Human Rights and Non-government Organizations,Multiple,Yes,4/1/2025 14:09:57,Armazém Memória,"Armazém Memória is an initiative for the articulation and collective construction of an Internet portal, aiming to collaborate in the development of public policies that can guarantee Brazilian citizens access to their historical memory, through Virtual Public Libraries interconnected in a direct search system in the content. (https://armazemmemoria.com.br/)",https://drive.google.com/open?id=11W6BGsNjQvjhj_R2hpwR2zxOin1D3tYP,Multiple,Human Rights and Non-government Organizations,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,State Terrorism; Brasil Nunca Mais; Military dictatorship; Indigenous rights; Libraries and archives network,-8.587542707,-55.36546033,https://armazemmemoria.com.br/,Yes,Portuguese,,Brazil; South America,,1/1/2001
id24,https://lh3.googleusercontent.com/d/13rKL9KJ4tvlfgl_iL7vBKs4L_5D_1PUr,https://lh3.googleusercontent.com/d/13rKL9KJ4tvlfgl_iL7vBKs4L_5D_1PUr,Brasil: Nunca Mais Project,"The Brasil: Nunca Mais (BNM) Project was developed by the World Council of Churches and the Archdiocese of São Paulo in the 1980s and was coordinated by Rev. Jaime Wright and Archbishop Paulo Evaristo Arns. The initiative had three principal objectives: to avoid the destruction of judicial proceedings of political trials at the end of the military dictatorship, as had occurred at the end of the Estado Novo (New State) in 1945; to obtain information about torture practiced by the state’s repressive apparatus; and to disseminate that information so that it would have an educational role in Brazilian society. (https://bnmdigital.mpf.mp.br/en-us/sobre.html)",https://bnmdigital.mpf.mp.br/en-us/,-8.587542707,-55.36546033,record,Military Supreme Court judicial proceedings; World Council of Churches,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Brazil; South America,Portuguese,,1/1/1980,Religious Sector,Multiple,Yes,4/1/2025 14:21:06,Brasil: Nunca Mais Project,"The Brasil: Nunca Mais (BNM) Project was developed by the World Council of Churches and the Archdiocese of São Paulo in the 1980s and was coordinated by Rev. Jaime Wright and Archbishop Paulo Evaristo Arns. The initiative had three principal objectives: to avoid the destruction of judicial proceedings of political trials at the end of the military dictatorship, as had occurred at the end of the Estado Novo (New State) in 1945; to obtain information about torture practiced by the state’s repressive apparatus; and to disseminate that information so that it would have an educational role in Brazilian society. (https://bnmdigital.mpf.mp.br/en-us/sobre.html)",https://drive.google.com/open?id=13rKL9KJ4tvlfgl_iL7vBKs4L_5D_1PUr,Multiple,Religious Sector,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Military Supreme Court judicial proceedings; World Council of Churches,-8.587542707,-55.36546033,https://bnmdigital.mpf.mp.br/en-us/,Yes,Portuguese,,Brazil; South America,,1/1/1980
id25,https://lh3.googleusercontent.com/d/1ePmBjMWAO26VfLsZ3InAFDT5VbK6QJct,https://lh3.googleusercontent.com/d/1ePmBjMWAO26VfLsZ3InAFDT5VbK6QJct,Memórias da Ditadura,"The Memórias da Ditadura portal project is a project by Vlado Educação –  Instituto Vladimir Herzog , which responds to the demand of the Human Rights Secretariat of the Presidency of the Republic to create a portal with the objective of disseminating the History of Brazil from 1964 to 1985 to the general public, especially the young population. (https://memoriasdaditadura.org.br/sobre-o-projeto/)",https://memoriasdaditadura.org.br/,-8.587542707,-55.36546033,record,Military Dictatorship; Human Rights Education Resources,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Brazil; South America,Portuguese,,1/1/2014,Human Rights and Non-government Organizations,Multiple,Yes,4/1/2025 14:44:14,Memórias da Ditadura,"The Memórias da Ditadura portal project is a project by Vlado Educação –  Instituto Vladimir Herzog , which responds to the demand of the Human Rights Secretariat of the Presidency of the Republic to create a portal with the objective of disseminating the History of Brazil from 1964 to 1985 to the general public, especially the young population. (https://memoriasdaditadura.org.br/sobre-o-projeto/)",https://drive.google.com/open?id=1ePmBjMWAO26VfLsZ3InAFDT5VbK6QJct,Multiple,Human Rights and Non-government Organizations,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Military Dictatorship; Human Rights Education Resources,-8.587542707,-55.36546033,https://memoriasdaditadura.org.br/,Yes,Portuguese,,Brazil; South America,,1/1/2014
